,Tên,Trường,Tỉnh thành,Khởi động,VCNV,Tăng tốc,Về đích,Tổng điểm,Tuần,Tháng,Quý
105,Phạm Khánh Chi,"THCS, THPT Lương Thế Vinh",Hà Nội,80,10,60,-10,140,1,1,3
106,Cù Đức Hiếu,THPT Bỉm Sơn,Thanh Hoá,130,10,90,50,280,1,1,3
107,Nguyễn Thị Thu Hương,THPT Lương Phú,Thái Nguyên,110,10,130,45,295,1,1,3
108,Nguyễn Đức Mạnh,THPT Phan Đình Phùng,Hà Tĩnh,80,10,100,0,190,2,1,3
109,Ngô Đặng Bá Huy,THPT Xuyên Mộc,Bà Rịa - Vũng Tàu,100,10,100,-30,180,2,1,3
110,Vũ Hoàng Linh,THPT Na Rì,Bắc Kạn,80,10,40,5,135,2,1,3
111,Nguyễn Tấn An,THPT Chuyên Lê Quý Đôn,Bình Định,90,60,120,0,270,2,1,3
112,Lưu Phương Diệu,THPT Giao Thủy B,Nam Định,90,10,80,60,240,3,1,3
113,Nguyễn Thị Thi,THPT Đô Lương 3,Nghệ An,70,80,10,30,190,3,1,3
114,Nguyễn Minh Huy,THPT chuyên Lê Hồng Phong,TP. Hồ Chí Minh,100,10,100,-25,185,3,1,3
115,Kiều Minh Quang,THPT Chuyên Lào Cai,Lào Cai,70,10,130,20,230,3,1,3
116,Lưu Phương Diệu,THPT Giao Thủy B,Nam Định,70,10,10,0,90,X,1,3
117,Nguyễn Thị Thu Hương,THPT Lương Phú,Thái Nguyên,80,10,110,25,225,X,1,3
118,Cù Đức Hiếu,THPT Bỉm Sơn,Thanh Hoá,40,20,130,50,240,X,1,3
119,Nguyễn Tấn An,THPT Chuyên Lê Quý Đôn,Bình Định,90,60,120,50,320,X,1,3
120,Nguyễn Viết Hà,THPT Hoàng Mai,Nghệ An,80,70,150,90,390,1,2,3
121,Trương Thị Minh Trang,THPT Chuyên Thoại Ngọc Hầu,An Giang,50,10,100,-10,150,1,2,3
122,Cao Thị Tường Vy,THPT Dương Quảng Hàm,Hưng Yên,50,20,50,-20,100,1,2,3
123,Dương Thế Khải,THPT Chuyên Bắc Giang,Bắc Giang,60,20,80,40,200,1,2,3
124,Hồ Đắc Huy,THPT Bùi Thị Xuân,TP. Hồ Chí Minh,60,20,40,-40,80,2,2,3
125,Đỗ Thu Phương,THPT Đoan Hùng,Phú Thọ,80,60,40,25,205,2,2,3
126,Nguyễn Mạnh Dũng,THPT Chuyên Quốc Học Huế,Thừa Thiên Huế,120,20,160,40,340,2,2,3
127,Lương Thị Trâm Anh,THPT Phan Bội Châu,Đắk Lắk,40,10,40,10,100,2,2,3
128,Đỗ Thị Phương Nga,THPT Trần Phú,Lâm Đồng,80,10,60,80,230,3,2,3
129,Nguyễn Hải Lâm,THPT Phúc Thọ,Hà Nội,50,10,110,-20,150,3,2,3
130,Nguyễn Thảo Anh Thư,THPT Chuyên Long An,Long An,50,80,60,20,210,3,2,3
131,Dương Minh Hiển,THPT Kiến An,Hải Phòng,90,0,130,0,220,3,2,3
132,Nguyễn Viết Hà,THPT Hoàng Mai,Nghệ An,70,80,110,50,310,X,2,3
133,Nguyễn Mạnh Dũng,THPT Chuyên Quốc Học Huế,Thừa Thiên Huế,90,0,120,-60,150,X,2,3
134,Đỗ Thị Phương Nga,THPT Trần Phú,Lâm Đồng,40,10,90,100,240,X,2,3
135,Dương Minh Hiển,THPT Kiến An,Hải Phòng,60,0,60,-30,90,X,2,3
136,Nguyễn Nhật Nam,THPT Đống Đa,Hà Nội,90,90,100,10,290,1,3,3
137,Mai Nhật Nam,THPT Nguyễn Chí Thanh,TP. Hồ Chí Minh,80,10,20,-20,90,1,3,3
138,Nguyễn Lê Gia Khánh,THPT Lệ Thủy,Quảng Bình,60,10,60,-10,120,1,3,3
139,Trần Danh Nhân,THPT chuyên Lý Tự Trọng,Cần Thơ,110,10,110,60,290,1,3,3
140,Nguyễn Ngọc Dũng,THPT Thanh Hà,Hải Dương,100,70,140,70,380,2,3,3
141,Lê Thị Thu Trang,THCS - THPT Chu Văn An,Quảng Ninh,40,0,50,0,90,2,3,3
142,Nguyễn Văn Duy Bảo,THPT Chuyên Nguyễn Bỉnh Khiêm,Quảng Nam,50,0,90,20,160,2,3,3
143,Trương Ngọc Bích Châu,THPT Chuyên Nguyễn Quang Diêu,Đồng Tháp,10,10,90,-25,85,2,3,3
144,Trần Nguyễn Thanh Lâm,THPT Tân Phú,Đồng Nai,50,0,90,5,145,3,3,3
145,Nguyễn Minh Trung,THPT Việt Trì,Phú Thọ,100,10,90,20,220,3,3,3
146,Trần Hậu An Nguyên,THPT Chuyên Hà Tĩnh,Hà Tĩnh,60,0,90,-20,130,3,3,3
147,Nguyễn Thiện Hải An,THPT Chuyên Khoa học Tự nhiên - Đại học Khoa học tự nhiên - Đại học Quốc gia Hà Nội,Hà Nội,150,80,110,70,410,3,3,3
148,Nguyễn Nhật Nam,THPT Đống Đa,Hà Nội,60,10,50,-20,100,X,3,3
149,Trần Danh Nhân,THPT Chuyên Lý Tự Trọng,Cần Thơ,110,60,60,80,310,X,3,3
150,Nguyễn Thiện Hải An,THPT Chuyên Khoa Học Tự Nhiên - Đại học Khoa học tự nhiên - Đại học quốc gia Hà Nội,Hà Nội,80,0,120,60,260,X,3,3
151,Nguyễn Ngọc Dũng,THPT Thanh Hà,Hải Dương,50,10,30,-40,50,X,3,3
152,Nguyễn Tấn An,THPT Chuyên Lê Quý Đôn,Bình Định,60,0,60,-45,75,X,X,3
153,Trần Danh Nhân,THPT chuyên Lý Tự Trọng,Cần Thơ,70,10,60,-50,90,X,X,3
154,Nguyễn Viết Hà,THPT Hoàng Mai,Nghệ An,40,90,130,60,320,X,X,3
155,Nguyễn Thiện Hải An,THPT Chuyên Khoa học Tự nhiên - Đại học Khoa học tự nhiên - Đại học Quốc gia Hà Nội,Hà Nội,80,0,120,125,325,X,X,3
156,Trương Công Minh,THPT Chuyên Lê Khiết,Quảng Ngãi,80,10,110,95,295,1,1,4
157,Đỗ Hồng Liên,THPT Mê Linh,Hà Nội,150,70,130,40,390,1,1,4
158,Võ Quốc Thịnh,THPT Trần Văn Thời,Cà Mau,70,20,100,20,210,1,1,4
159,Phan Thị Thu Huyền,THPT Thái Hòa,Nghệ An,20,10,40,10,80,1,1,4
160,Nguyễn Vũ Nhật Huy,THPT Chuyên Hùng Vương,Gia Lai,110,10,70,20,210,2,1,4
161,Vũ Minh Đức,THPT Lương Tài,Bắc Ninh,110,10,60,70,250,2,1,4
162,Nguyễn Đình Duy Anh,THPT Chuyên Phan Bội Châu,Nghệ An,120,90,110,0,320,2,1,4
163,Nguyễn Trần Minh Thiện,Trung học Thực hành Đại học Sư Phạm,TP. Hồ Chí Minh,110,10,70,30,220,2,1,4
164,Trương Khánh Ly,THPT Ngọc Hồi,Hà Nội,40,0,100,-35,105,3,1,4
165,Trần Tuấn Khoa,THPT Chuyên Tiền Giang,Tiền Giang,40,20,20,100,180,3,1,4
166,Mai Hương Trà,THPT chuyên Lê Thánh Tông,Quảng Nam,90,60,140,-10,280,3,1,4
167,Trần Việt Hà,THPT Thị xã Nghĩa Lộ,Yên Bái,30,0,100,20,150,3,1,4
168,Nguyễn Đình Duy Anh,THPT Chuyên Phan Bội Châu,Nghệ An,80,20,70,80,250,X,1,4
169,Mai Hương Trà,THPT chuyên Lê Thánh Tông,Quảng Nam,50,60,110,-30,190,X,1,4
170,Đỗ Hồng Liên,THPT Mê Linh,Hà Nội,80,20,100,40,240,X,1,4
171,Trương Công Minh,THPT Chuyên Lê Khiết,Quảng Ngãi,60,10,100,90,260,X,1,4
172,Ngô Minh Phương,THPT Lê Hồng Phong,Phú Yên,40,10,50,30,130,1,2,4
173,Phan Thanh Tịnh,THPT Chuyên Lê Quý Đôn,Đà Nẵng,50,10,100,60,220,1,2,4
174,Đàm Văn Hiển,THPT Nguyễn Trung Ngạn,Hưng Yên,90,10,80,-60,120,1,2,4
175,Phan Doãn Nhân,THPT Nguyễn Trãi,Thái Bình,100,70,140,-10,300,1,2,4
176,Ngô Khang Huy,THPT Chuyên Bắc Ninh,Bắc Ninh,70,40,110,60,280,2,2,4
177,Trần Công Minh,THPT Chuyên Hà Nội - Amsterdam,Hà Nội,110,40,130,50,330,2,2,4
178,Đặng Thị Thanh Tú,Quốc học Quy Nhơn,Bình Định,30,40,60,-50,80,2,2,4
179,Trần Thị Hồng Thanh,PT Dân tộc Nội trú Thái Nguyên,Thái Nguyên,40,20,90,-25,125,2,2,4
180,Trần Hải Anh,THPT Quang Trung,Hải Dương,90,10,60,40,200,3,2,4
181,Trần Minh Đức,THPT Hồng Lĩnh,Hà Tĩnh,60,20,120,15,215,3,2,4
182,Nguyễn Tuấn Ngọc,THPT Chuyên Hùng Vương,Phú Thọ,110,60,120,-5,285,3,2,4
183,Trần Xuân Hiển,THPT Phú Lương,Thái Nguyên,70,10,60,-40,100,3,2,4
184,Ngô Khang Huy,THPT Chuyên Bắc Ninh,Bắc Ninh,90,30,60,-20,160,X,2,4
185,Phan Doãn Nhân,THPT Nguyễn Trãi,Thái Bình,80,30,50,-15,145,X,2,4
186,Nguyễn Tuấn Ngọc,THPT Chuyên Hùng Vương,Phú Thọ,90,10,80,-35,145,X,2,4
187,Trần Công Minh,THPT Chuyên Hà Nội - Amsterdam,Hà Nội,100,70,120,40,330,X,2,4
188,Phạm Bùi Hải Đăng,THPT Gia Viễn A,Ninh Bình,70,30,60,120,280,1,3,4
189,Hoàng Hồng Đức,THPT Lương Văn Tri,Lạng Sơn,50,50,40,-60,80,1,3,4
190,Phạm Việt Hoàng,THPT Chuyên Nguyễn Huệ,Hà Nội,60,10,110,45,225,1,3,4
191,Hoàng Công Gia Bảo,THPT Nguyễn Duy Trinh,Nghệ An,90,10,150,50,300,1,3,4
192,Bùi Đức Đăng,THPT Chuyên Hạ Long,Quảng Ninh,110,10,120,50,290,2,3,4
193,Lê Thanh Quý Hải,THPT Thị xã Quảng Trị,Quảng Trị,100,70,140,35,345,2,3,4
194,Hoàng Văn Thái,THPT Hoài Đức A,Hà Nội,110,10,40,-30,130,2,3,4
195,Lê Đức Toàn,THPT Sáng Sơn,Vĩnh Phúc,20,0,50,0,70,2,3,4
196,Võ Phạm Gia Bảo,THPT Cát Tiên,Lâm Đồng,50,0,80,80,210,3,3,4
197,Lê Hạnh An,THPT Nông Cống 4,Thanh Hoá,70,0,70,10,150,3,3,4
198,Nguyễn Minh Triết,THPT Chuyên Võ Nguyên Giáp,Quảng Bình,80,80,70,10,240,3,3,4
199,Đỗ Như Vui,THPT Hương Cần,Phú Thọ,60,0,80,10,150,3,3,4
200,Nguyễn Minh Triết,THPT Chuyên Võ Nguyên Giáp,Quảng Bình,60,60,50,5,175,X,3,4
201,Lê Thanh Quý Hải,THPT Thị xã Quảng Trị,Quảng Trị,30,0,70,-50,50,X,3,4
202,Hoàng Công Gia Bảo,THPT Nguyễn Duy Trinh,Nghệ An,50,10,30,95,185,X,3,4
203,Bùi Đức Đăng,THPT Chuyên Hạ Long,Quảng Ninh,50,10,130,40,230,X,3,4
204,Bùi Đức Đăng,THPT Chuyên Hạ Long,Quảng Ninh,60,10,80,80,230,X,X,4
205,Nguyễn Đình Duy Anh,THPT Chuyên Phan Bội Châu,Nghệ An,50,70,60,70,250,X,X,4
206,Trương Công Minh,THPT Chuyên Lê Khiết,Quảng Ngãi,60,0,120,10,190,X,X,4
207,Trần Công Minh,THPT Chuyên Hà Nội - Amsterdam,Hà Nội,80,10,110,15,215,X,X,4
